[main] INFO soot.jimple.infoflow.cmd.MainClass - Analyzing app /jimmy/hdd/sr939/FinanceApps/com.yahoo.mobile.client.android.finance_2020-03-10.apk (1 of 1)...
[main] INFO soot.jimple.infoflow.android.SetupApplication - Initializing Soot...
[main] INFO soot.jimple.infoflow.android.SetupApplication - Loading dex files...
[main] WARN soot.dexpler.DexFileProvider - Multiple dex files detected, only processing 'classes.dex'. Use '-process-multiple-dex' option to process them all.
[main] INFO soot.jimple.infoflow.android.SetupApplication - ARSC file parsing took 0.15939241 seconds
[main] INFO soot.jimple.infoflow.memory.FlowDroidTimeoutWatcher - FlowDroid timeout watcher started
[main] INFO soot.jimple.infoflow.android.entryPointCreators.AndroidEntryPointCreator - Creating Android entry point for 136 components...
[main] INFO soot.jimple.infoflow.android.SetupApplication - Constructing the callgraph...
[main] INFO soot.jimple.infoflow.android.callbacks.DefaultCallbackAnalyzer - Collecting callbacks in DEFAULT mode...
[main] INFO soot.jimple.infoflow.android.callbacks.DefaultCallbackAnalyzer - Callback analysis done.
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.google.android.material.appbar.AppBarLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.ryot.arsdk.ui.views.CarouselView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.ryot.arsdk.ui.views.CaptureExperienceView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.ryot.arsdk.ui.views.ShareMediaView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.ryot.arsdk.ui.views.FindPlaneTipView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.yahoo.mobile.client.android.yvideosdk.ui.presentation.AspectRatioFrameLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.ryot.arsdk.ui.views.CaptureButton
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.ryot.arsdk.ui.views.ArExperienceSceneView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class view
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class view
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.ryot.arsdk.ui.views.CaptureButton
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.google.android.material.datepicker.MaterialCalendarGridView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class android.widget.Space
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class android.widget.LinearLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class view
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class android.widget.Space
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class android.widget.Space
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class android.widget.Space
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class android.widget.Space
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class view
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class view
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.oath.mobile.platform.phoenix.core.SingleLineTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.oath.mobile.platform.phoenix.core.SingleLineTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.google.android.material.appbar.AppBarLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.google.android.material.appbar.AppBarLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.yahoo.mobile.android.a11y.view.AllyChartView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.google.android.material.appbar.AppBarLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.google.android.material.appbar.AppBarLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.google.android.material.appbar.AppBarLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.ryot.arsdk.ui.views.ArExperienceSceneView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.google.android.material.appbar.AppBarLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.google.android.material.tabs.TabLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.google.android.material.appbar.AppBarLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.google.android.material.appbar.AppBarLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.google.android.material.textfield.TextInputLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.google.android.material.appbar.AppBarLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.google.android.material.appbar.AppBarLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.google.android.material.appbar.AppBarLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.google.android.material.appbar.AppBarLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.google.android.material.appbar.AppBarLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.google.android.material.appbar.AppBarLayout
