[main] INFO soot.jimple.infoflow.cmd.MainClass - Analyzing app /jimmy/hdd/sr939/FinanceApps/fr.creditagricole.androidapp_2018-04-23.apk (1 of 1)...
[main] INFO soot.jimple.infoflow.android.SetupApplication - Initializing Soot...
[main] INFO soot.jimple.infoflow.android.SetupApplication - Loading dex files...
[main] WARN soot.dexpler.DexFileProvider - Multiple dex files detected, only processing 'classes.dex'. Use '-process-multiple-dex' option to process them all.
[main] INFO soot.jimple.infoflow.android.SetupApplication - ARSC file parsing took 0.077858086 seconds
[main] INFO soot.jimple.infoflow.memory.FlowDroidTimeoutWatcher - FlowDroid timeout watcher started
[main] INFO soot.jimple.infoflow.android.entryPointCreators.AndroidEntryPointCreator - Creating Android entry point for 120 components...
[main] INFO soot.jimple.infoflow.android.SetupApplication - Constructing the callgraph...
[main] INFO soot.jimple.infoflow.android.callbacks.DefaultCallbackAnalyzer - Collecting callbacks in DEFAULT mode...
[main] INFO soot.jimple.infoflow.android.callbacks.DefaultCallbackAnalyzer - Callback analysis done.
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.SupportTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.SupportTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.SupportImageView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.SupportImageView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.SupportImageView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.SupportTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.SupportTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class android.support.v7.widget.RecyclerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.SupportTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.RobotoSwitch
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.ExtendedEditText
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.SupportTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class x
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.SupportTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.SupportTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class x
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class x
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.accounts.views.JointOperationListView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.accounts.views.SubOperationFormView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Fragment without class name or id detected
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class android.support.v7.widget.RecyclerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.SupportTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.SupportTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.accountscore.views.AccountOperationSpecifiedMarginListView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.accounts.fragments.cashorder.AccountsFragment
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.accounts.fragments.cashorder.AccountsFragment
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class android.support.v4.widget.NestedScrollView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.accounts.fragments.cashorder.CashOrderWithdrawalFragment
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.accounts.fragments.cashorder.CashOrderWithdrawalFragment
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.accounts.fragments.cashorder.AccountsFragment
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.accounts.fragments.cashorder.AccountsFragment
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.accounts.fragments.cashorder.CashOrderWithdrawalFragment
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.accounts.fragments.cashorder.CashOrderWithdrawalFragment
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.RobotoSwitch
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class android.support.v4.widget.NestedScrollView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.QuantityView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class android.support.v7.widget.RecyclerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.SupportImageView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.SupportImageView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.SupportImageView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.SupportImageView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.creditagricole.module.core.views.SupportImageView
