[main] INFO soot.jimple.infoflow.cmd.MainClass - Analyzing app /jimmy/hdd/sr939/FinanceApps/giniapps.easymarkets.com_2019-05-07.apk (1 of 1)...
[main] INFO soot.jimple.infoflow.android.SetupApplication - Initializing Soot...
[main] INFO soot.jimple.infoflow.android.SetupApplication - Loading dex files...
[main] WARN soot.dexpler.DexFileProvider - Multiple dex files detected, only processing 'classes.dex'. Use '-process-multiple-dex' option to process them all.
[main] INFO soot.jimple.infoflow.android.SetupApplication - ARSC file parsing took 0.077125084 seconds
[main] INFO soot.jimple.infoflow.memory.FlowDroidTimeoutWatcher - FlowDroid timeout watcher started
[main] INFO soot.jimple.infoflow.android.entryPointCreators.AndroidEntryPointCreator - Creating Android entry point for 64 components...
[main] INFO soot.jimple.infoflow.android.SetupApplication - Constructing the callgraph...
[main] INFO soot.jimple.infoflow.android.callbacks.DefaultCallbackAnalyzer - Collecting callbacks in DEFAULT mode...
[main] INFO soot.jimple.infoflow.android.callbacks.DefaultCallbackAnalyzer - Callback analysis done.
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class view
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class view
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomButton
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomButton
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomButton
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.liveperson.infra.ui.view.ui.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class android.widget.Space
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class android.widget.Space
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class view
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class android.widget.Space
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class android.widget.Space
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class android.widget.Space
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class android.widget.Space
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class view
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class view
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class giniapps.easymarkets.com.custom.customviews.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class giniapps.easymarkets.com.custom.customviews.CustomTextViewBold
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class giniapps.easymarkets.com.custom.customviews.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class giniapps.easymarkets.com.custom.customviews.CustomTextViewBold
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class giniapps.easymarkets.com.custom.customviews.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class giniapps.easymarkets.com.custom.customviews.CustomTextViewBold
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class giniapps.easymarkets.com.custom.customviews.CustomTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class giniapps.easymarkets.com.custom.customviews.CustomTextViewBold
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class giniapps.easymarkets.com.custom.customviews.CustomTextView
